code, name, len, min, max
0x00, "UNKNOWN", 0
0x82,"INT",2,-32768, 32767
0x83,"LONG",4,-2147483648, 2147483647
0x84,"FLOAT",4,"-3.402823E+38","3.402823E+38"
0x85, "DOUBLE",8, "-1.79769313486232E+308", "1.79769313486232E+308"
0x86, "VT_CY"
0x87, "VT_DATE", 8, "1.1.1970 00:00:00", "31.12.2037 23:59:59"
0x88, "STRING", "1-255", NA, NA
0x89, "VT_DISPATCH", NA, NA, NA
0x8a, "VT_ERROR", NA, NA, NA
0x8b, "BOOL", 0, -1, 0
0x90, "CHAR", 1, -128, 127
0x91, "BYTE", 1, 0, 255
0x92, "UINT", 2, 0, 65535
0x93, "ULONG", 4, 0, 4294967295
0x94, "VT_I8", 8
0x95, "VT_UI8", 8
